Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
אחיא,akld0023-2,אָח,NOUN,w-אחיא,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,brother,,,,,,,,,,,,,,,,,
אחיה,beth0235-1,אָח,NOUN,w-אחיה,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,brother,,,,,,,,,,,,,,,,,
אטיו,beth0237-4,אטיו,PROPN,w-אטיו,PROPERNAME FEMININE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,f,Jewish,Atio,,,,,,,,,,,,,,,,,,,,,,,,,,,
אטיון,beth0238-6,אטיון,PROPN,w-אטיון,PROPERNAME FEMININE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,f,Jewish,Ation,,,,,,,,,,,,,,,,,,,,,,,,,,,
אי,jord0001-257,אִם,CCONJ,w-אי,CONJUNCTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איי,jeru0449-8,אִיֵּי,NOUN,w-איי,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אין,"caes0500-1, caes0552b-1",אֵין,COP,w-אין,EXISTENTIAL UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איש,jord0001-247,אִישׁ,NOUN,w-איש,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אל,"jord0001-153, jord0001-219, jord0001-367, jord0001-423, jord0001-440, jord0001-556",אֶל,PREP,w-אל,PREPOSITION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלא,jeru0379-1,אֶלָּא,CCONJ,w-אלא,CONJUNCTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלה,"jord0001-181, jord0001-338",אֵלֶּה,PRON,w-אלה,PRONOUN MASCULINEFEMININE PLURAL PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלהי,"jord0001-65, jord0001-109, jord0001-125, jord0001-179, jord0001-207, jord0001-356, jord0001-362, jord0001-434",אֱלֹהִים,NOUN,w-אלהי,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINEFEMININE SUF_SINGULAR SUF_PERSON_1,y,Elohim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלהים,"jord0001-52, jord0001-123, jord0001-158, jord0001-176, jord0001-205, jord0001-265",אֱלֹהִים,NOUN,w-אלהים,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,y,Elohim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלהנו,unkn0103-2,אֱלֹהִים,NOUN,w-אלהנו,VERB MASCULINEFEMININE SINGULAR PERSON_1 FUTURE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,y,Elohim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלו,beth0239-1,אֵלֶּה,PRON,w-אלו,PRONOUN MASCULINEFEMININE PLURAL PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלחנן,jeru0507-1,אֶלְחָנָן,PROPN,w-אלחנן,[none provided],,,y,m,Jewish,Elchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,
אליעזר,"beth0248-10, dabb0006-5, masa0390-1",אֱלִיעֶזֶר,PROPN,w-אליעזר,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Eliezar,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלכסנ,jaff0057-6,אֲלֶכְּסַנְדְּרִיָה,PROPN,w-אלכסנ,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,Alexandria,https://pleiades.stoa.org/places/727070,,,,,,,,,,,,,,
אלכסנדרוס,jeru0342-1,אֲלֶכְּסַנְדְּרוֹס,PROPN,w-אלכסנדרוס,[none provided],,,y,m,Jewish,Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלעוד,masa0469-1,,,w-אלעוד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלעזר,"jeru0303-5, jeru0385-3, jeru0387-1, jeru0394-1, masa0038-3, masa0038-5, masa0381-1, masa0470-3, masa0476-1, masa0510-1, masa0511-1",אֶלְעָזָר,PROPN,w-אלעזר,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Eleazar,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלעסה,jeru0423-1,אלעסה,PROPN,w-אלעסה,PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Elasah,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלף,jeru0449-2,אֶלֶף,X,w-אלף,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלקסדרין,jeru0508-1,אלקסדרין,PROPN,w-אלקסדרין,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,f,Jewish,Alexandrine,,,,,,,,,,,,,,,,,,,,,,,,,,,
אם,"jeru0419-2, jord0001-481, jord0001-484",אֵם,NOUN,w-אם,"CONJUNCTION UNSPECIFIED
",,,,,,,,,,,,,,,y,mother,,,,,,,,,,,,,,,,,
אמא,akld0023-4,אִמָּא,NOUN,w-אמא,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,mother,,,,,,,,,,,,,,,,,
אמות,"masa0585-2, masa0585-5",אַמָּה,NOUN,w-אמות,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,y,length,,,,,,,
אמן,jeru0453-1,אָמֵן,INTJ,w-אמן,INTERJECTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,interjection,,,
אמר,"jord0001-51, jord0001-63, jord0001-104, jord0001-120, jord0001-203, jord0001-223, jord0001-351, jord0001-359, jord0001-405, jord0001-431",אָמַר,VERB,w-אמר,MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אמרי,jeru0300-9,אמרי,PROPN,w-אמרי,[none provided],,,,,,,,,,,,,,,,,y,Beit Ummar,https://pleiades.stoa.org/places/69832953,,,,,,,,,,,,,,
אן,jeru0492-10,אַן,PRON,w-אן,[none provided],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אנא,jeru0492-1,אַן,PRON,w-אנא,PRONOUN UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אנחנו,jord0001-407,אֲנִי,PRON,w-אנחנו,PRONOUN MASCULINEFEMININE PLURAL PERSON_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אני,"jord0001-99, jord0001-255, jord0001-492, jord0001-520, jord0001-551",אֲנִי,PRON,w-אני,PRONOUN MASCULINEFEMININE SINGULAR PERSON_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אניאנה,beth0239-7,אניאנה,PROPN,w-אניאנה,VERB MASCULINEFEMININE SINGULAR PERSON_1 FUTURE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_ACCUSATIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,y,m,Jewish,Aniana,,,,,,,,,,,,,,,,,,,,,,,,,,,
אניות,jeru0449-7,אֳנִיָּה,NOUN,w-אניות,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,boat,,,,,
אנינא,beth0233-1,אֲנִינָא,PROPN,w-אנינא,ADJECTIVE MASCULINE SINGULAR ABSOLUTE UNSPECIFIED,,,y,m,Jewish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אנכי,jord0001-491,אֲנִי,PRON,w-אנכי,PRONOUN MASCULINEFEMININE SINGULAR PERSON_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אנשים,jord0001-468,אִישׁ,NOUN,w-אנשים,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפלגנה,unkn0101-3,אפלגנה,PROPN,w-אפלגנה,PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,y,f,Jewish,Apollogena,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפמלס,seph0100-1,אפמלס,,w-אפמלס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אק,jord0001-514,,,w-אק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארבגלא,erra0002-1,ארבגלא,PROPN,w-ארבגלא,"ADVERB SUF_PRONOMINAL SUF_TYPE_NOMINATIVE UNSPECIFIED UNSPECIFIED UNSPECIFIED
",,,y,m,Jewish,Arbagla,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארבע,"masa0585-1, masa0586-1",אַרְבָּעָה,X,w-ארבע,NUMBER FEMININE PLURAL ABSOLUTECONSTRUCT UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארבעה,jord0001-213,אַרְבָּעָה,X,w-ארבעה,NUMBER MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארבעין,jord0001-82,אַרְבְּעָא,X,w-ארבעין,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארו,beth0246-2,,,w-ארו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארובות,jord0001-528,אֲרֻבָּה,NOUN,w-ארובות,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,hole,,,,,
ארונו,"beth0245-2, beth0248-2, beth0250-2",אָרוֹן,NOUN,w-ארונו,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,y,coffin,,,,,
ארונות,beth0239-2,אָרוֹן,NOUN,w-ארונות,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,coffin,,,,,
ארונן,beth0244-2,אָרוֹן,NOUN,w-ארונן,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME  UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,coffin,,,,,
אריה,tibe0001-5,אַרְיֵה,PROPN,w-אריה,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,Zodiac sign,Leo
ארס,jord0001-11,,,w-ארס,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארסטון,akld0024-5,אַרְסְטוֹן,PROPN,w-ארסטון,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Ariston,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשמנ,tdor0002-3,,PROPN,w-אשמנ,[none provided],,,y,m,Other,Eshmunazar,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשעיה,masa0411-1,אשעיה,PROPN,w-אשעיה,Aramaic 1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE VERB FEMININE SINGULAR PERSON_3 PRESENT PASSIVE UNSPECIFIED,,,y,m,Jewish,Oshaiah,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשר,mger0150-1,אֲשֶׁר,CCONJ,w-אשר,CONJUNCTION UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשריא,jord0001-378,,,w-אשריא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אשת,"jeru0017-2, jeru0390-3, masa0400-1",אִשָּׁה,NOUN,w-אשת,NOUN FEMININE SINGULAR CONSTRUCT UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,wife,,,,,,,,,,,,,,,,,
אשתו,"beth0246-8, mger0150-6",אִשָּׁה,NOUN,w-אשתו,NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,y,wife,,,,,,,,,,,,,,,,,
את,"beth0250-11, jord0001-168, jord0001-461, qumr0001-11",אֶת,PREP,w-את,AT_PREP UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אתגלות,jord0001-263,אֶתְגָּלוֹת,NOUN,w-אתגלות,VERB MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_NOMINATIVE UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,exile,,,
אתה,"jord0001-48, jord0001-147",אֲנִי,PRON,w-אתה,PRONOUN MASCULINE SINGULAR PERSON_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אתת,jeru0017-5,אתתא,,w-אתת,[none provided],,,,,,,,,,,,,,,y,wife,,,,,,,,,,,,,,,,,
ב,"jent0001-1, jeru0341-1, jeru0349-2, jeru0369-1, jord0001-7, jord0001-24, jord0001-25, jord0001-292, jord0001-384, jord0001-452, jord0001-506, jord0001-542, jord0001-571, masa0401-1, qumr0001-7, qumr0001-33, unkn0102-2",,,w-ב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
באלף,jeru0449-4,אָלֶף,X,w-באלף,PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בגדולות,jord0001-59,גָּדוֹל,NOUN,w-בגדולות,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE ADJECTIVE FEMININE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בגדלות,jord0001-236,גָּדוֹל,NOUN,w-בגדלות,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN FEMININE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בגטה,jeru0492-30,גֵּט,NOUN,w-בגטה,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,y,writ,,,,,
בה,"jeru0534-3, jord0001-382, masa0449-4, masa0450-4, masa0451-4",בְּ,PREP,w-בה,PREPOSITION SUF_PRONOMINAL SUF_TYPE_NOMINATIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בוטא,unkn0100-1,בוטא,PROPN,w-בוטא,VERB MASCULINE SINGULAR PERSON_3 PAST PASSIVE UNSPECIFIED,,,y,m,Jewish,Buta,,,,,,,,,,,,,,,,,,,,,,,,,,,
בטוחין,jord0001-408,בטח,VERB,w-בטוחין,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE ADJECTIVE MASCULINE PLURAL ABSOLUTE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בירבי,beth0238-3,,NOUN,w-בירבי,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,y,religious,rabbi,,,,,y,son,,,,,,,y,rabbi,,,,,y,rabbi,,,
בירושׁלם,jeru0492-18,יְרוּשָׁלַיִם,PROPN,w-בירושׁלם,PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,Jerusalem,https://pleiades.stoa.org/places/687928,,,,,,,,,,,,,,
ביריחו,qumr0001-4,יְרֵחֽוֹ,PROPN,w-ביריחו,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,,,y,Jericho,https://pleiades.stoa.org/places/687917,,,,,,,,,,,,,,
בית,dabb0006-2,בַּיִת,NOUN,w-בית,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,y,house of study,,,,,,,,,,,y,house of study,,,
בכול,jord0001-290,כֹּל,NOUN,w-בכול,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_DEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בכל,huqo0001-9,כֹּל,NOUN,w-בכל,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_DEFINITE DET_QUANTIFIER UNSPECIFIED UNSPECIFIED ABSOLUTECONSTRUCT UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בל,beth0261-13,,,w-בל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בלסנה,masa0544-2,,NOUN,w-בלסנה,VERB FEMININE PLURAL PERSON_2 IMPERATIVE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,balsam,,,,,
במ,jeru0492-27,,,w-במ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
במקדש,mger0150-11,מִקְדָּשׁ,NOUN,w-במקדש,"1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_DEFINITE NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,temple,,,
בן,"akld0021-2, anna0003-2, anna0004-2, beth0227-5, beth0227-17, beth0228-5, beth0237-9, beth0238-5, beth0246-12, beth0248-12, beth0258-2, beth0259-4, caes0518-4, erra0001-2, erra0002-2, haif0010-3, jaff0054-6, jaff0057-2, jeru0303-13, jeru0353-1, jeru0354-1, jeru0365-1, jeru0381-2, jeru0413-2, jeru0435-2, juda0001-2, masa0406-1, masa0407-1, masa0466-2, masa0472-1, mger0150-4, mtsc0001-2, qumr0001-9, shap0002-2, shap0003-2",בֵּן,NOUN,w-בן,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
בנ,"jeru0355-1, jord0001-29, masa0429-1, masa0430-1, masa0435-1, qumr0002-6",בֵּן,NOUN,w-בנ,PROPERNAME MASCULINE SINGULAR UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
בנו,"beth0237-22, beth0244-9, beth0248-7, beth0250-6",בֵּן,NOUN,w-בנו,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
בנותיה,beth0243-8,בַּת,NOUN,w-בנותיה,NOUN FEMININE PLURAL ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_FEMININE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,y,daughter,,,,,,,,,,,,,,,,,
בני,"huqo0001-3, jeru0303-11, jeru0303-17, jord0001-22, jord0001-486",בֵּן,NOUN,w-בני,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
בניאיר,masa0437-1,,,w-בניאיר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בניו,"beth0239-12, beth0244-5, mger0150-8, qumr0002-8",בֵּן,NOUN,w-בניו,NOUN MASCULINE PLURAL ABSOLUTE UNSPECIFIED SUF_PRONOMINAL SUF_TYPE_POSSESSIVE SUF_MASCULINE SUF_SINGULAR SUF_PERSON_3,,,,,,,,,,,,,,,y,son,,,,,,,,,,,,,,,,,
בנסד,jord0001-142,,,w-בנסד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בנת,jeru0450-1,בת,NOUN,w-בנת,VERB MASCULINE SINGULAR PERSON_2 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,y,daughter,,,,,,,,,,,,,,,,,
בסי,masa0506-1,בֵּסָי,PROPN,w-בסי,PROPERNAME UNSPECIFIED UNSPECIFIED UNSPECIFIED UNSPECIFIED,,,y,m,Jewish,Besay,,,,,,,,,,,,,,,,,,,,,,,,,,,
בצק,"jeru0370-4, masa0548-1",בָּצֵק,NOUN,w-בצק,NOUN MASCULINE SINGULAR ABSOLUTE UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,y,dough,,,,,
בקש,jord0001-90,בקש,VERB,w-בקש,VERB MASCULINE SINGULAR PERSON_3 PAST UNSPECIFIED UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בקשו,jord0001-199,בקש,VERB,w-בקשו,1-PreLets PRE_PREPOSITIONAL PRE_DEFSTATUS_NOTDEFINITE VERB MASCULINE PLURAL PERSON_3 PRESENT PASSIVE UNSPECIFIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
